step,site_index,x,y
5,0,0.63862365,0.013328579
5,1,-0.82415116,0.57059914
5,2,-0.31464845,0.62194675
5,3,0.8355119,-0.44685405
5,4,-0.6082786,0.72283083
5,5,-0.29909435,-0.106700815
5,6,-0.9604879,-0.9255547
5,7,-0.7394375,-0.30360723
5,8,0.4465921,0.05891411
5,9,0.3720114,0.85349655
5,10,0.63862365,2.0133283
5,11,-0.82415116,2.570599
5,12,-0.31464845,2.6219468
5,13,0.8355119,1.5531459
5,14,-0.6082786,2.7228308
5,15,-0.29909435,1.8932991
5,16,-0.9604879,1.0744452
5,17,-0.7394375,1.6963927
5,18,0.4465921,2.0589142
5,19,0.3720114,2.8534968
5,20,0.63862365,4.013329
5,21,-0.82415116,4.570599
5,22,-0.31464845,4.621947
5,23,0.8355119,3.553146
5,24,-0.6082786,4.722831
5,25,-0.29909435,3.893299
5,26,-0.9604879,3.0744455
5,27,-0.7394375,3.6963928
5,28,0.4465921,4.058914
5,29,0.3720114,4.8534966
5,30,2.6386235,-3.9866717
5,31,1.1758488,-3.429401
5,32,1.6853515,-3.3780532
5,33,2.8355122,-4.446854
5,34,1.3917215,-3.2771692
5,35,1.7009057,-4.1067004
5,36,1.0395122,-4.9255543
5,37,1.2605625,-4.303607
5,38,2.446592,-3.9410858
5,39,2.3720117,-3.1465032
5,40,2.6386235,-1.9866713
5,41,1.1758488,-1.4294009
5,42,1.6853515,-1.3780532
5,43,2.8355122,-2.446854
5,44,1.3917215,-1.2771693
5,45,1.7009057,-2.106701
5,46,1.0395122,-2.9255545
5,47,1.2605625,-2.3036072
5,48,2.446592,-1.9410859
5,49,2.3720117,-1.1465034
5,50,2.6386235,0.013328579
5,51,1.1758488,0.57059914
5,52,1.6853515,0.62194675
5,53,2.8355122,-0.44685405
5,54,1.3917215,0.72283083
5,55,1.7009057,-0.106700815
5,56,1.0395122,-0.9255547
5,57,1.2605625,-0.30360723
5,58,2.446592,0.05891411
5,59,2.3720117,0.85349655
5,60,2.6386235,2.0133283
5,61,1.1758488,2.570599
5,62,1.6853515,2.6219468
5,63,2.8355122,1.5531459
5,64,1.3917215,2.7228308
5,65,1.7009057,1.8932991
5,66,1.0395122,1.0744452
5,67,1.2605625,1.6963927
5,68,2.446592,2.0589142
5,69,2.3720117,2.8534968
5,70,2.6386235,4.013329
5,71,1.1758488,4.570599
5,72,1.6853515,4.621947
5,73,2.8355122,3.553146
5,74,1.3917215,4.722831
5,75,1.7009057,3.893299
5,76,1.0395122,3.0744455
5,77,1.2605625,3.6963928
5,78,2.446592,4.058914
5,79,2.3720117,4.8534966
5,80,4.6386237,-3.9866717
5,81,3.175849,-3.429401
5,82,3.6853514,-3.3780532
5,83,4.8355117,-4.446854
5,84,3.3917212,-3.2771692
5,85,3.7009056,-4.1067004
5,86,3.039512,-4.9255543
5,87,3.2605624,-4.303607
5,88,4.446592,-3.9410858
5,89,4.372011,-3.1465032
5,90,4.6386237,-1.9866713
5,91,3.175849,-1.4294009
5,92,3.6853514,-1.3780532
5,93,4.8355117,-2.446854
5,94,3.3917212,-1.2771693
5,95,3.7009056,-2.106701
5,96,3.039512,-2.9255545
5,97,3.2605624,-2.3036072
5,98,4.446592,-1.9410859
5,99,4.372011,-1.1465034
5,100,4.6386237,0.013328579
5,101,3.175849,0.57059914
5,102,3.6853514,0.62194675
5,103,4.8355117,-0.44685405
5,104,3.3917212,0.72283083
5,105,3.7009056,-0.106700815
5,106,3.039512,-0.9255547
5,107,3.2605624,-0.30360723
5,108,4.446592,0.05891411
5,109,4.372011,0.85349655
5,110,4.6386237,2.0133283
5,111,3.175849,2.570599
5,112,3.6853514,2.6219468
5,113,4.8355117,1.5531459
5,114,3.3917212,2.7228308
5,115,3.7009056,1.8932991
5,116,3.039512,1.0744452
5,117,3.2605624,1.6963927
5,118,4.446592,2.0589142
5,119,4.372011,2.8534968
5,120,4.6386237,4.013329
5,121,3.175849,4.570599
5,122,3.6853514,4.621947
5,123,4.8355117,3.553146
5,124,3.3917212,4.722831
5,125,3.7009056,3.893299
5,126,3.039512,3.0744455
5,127,3.2605624,3.6963928
5,128,4.446592,4.058914
5,129,4.372011,4.8534966
5,130,0.63862365,-1.9866713
5,131,-0.82415116,-1.4294009
5,132,-0.31464845,-1.3780532
5,133,0.8355119,-2.446854
5,134,-0.6082786,-1.2771693
5,135,-0.29909435,-2.106701
5,136,-0.9604879,-2.9255545
5,137,-0.7394375,-2.3036072
5,138,0.4465921,-1.9410859
5,139,0.3720114,-1.1465034
5,140,0.63862365,-3.9866717
5,141,-0.82415116,-3.429401
5,142,-0.31464845,-3.3780532
5,143,0.8355119,-4.446854
5,144,-0.6082786,-3.2771692
5,145,-0.29909435,-4.1067004
5,146,-0.9604879,-4.9255543
5,147,-0.7394375,-4.303607
5,148,0.4465921,-3.9410858
5,149,0.3720114,-3.1465032
5,150,-1.3613763,4.013329
5,151,-2.824151,4.570599
5,152,-2.3146486,4.621947
5,153,-1.1644882,3.553146
5,154,-2.6082788,4.722831
5,155,-2.2990944,3.893299
5,156,-2.960488,3.0744455
5,157,-2.7394376,3.6963928
5,158,-1.5534079,4.058914
5,159,-1.6279886,4.8534966
5,160,-1.3613763,2.0133283
5,161,-2.824151,2.570599
5,162,-2.3146486,2.6219468
5,163,-1.1644882,1.5531459
5,164,-2.6082788,2.7228308
5,165,-2.2990944,1.8932991
5,166,-2.960488,1.0744452
5,167,-2.7394376,1.6963927
5,168,-1.5534079,2.0589142
5,169,-1.6279886,2.8534968
5,170,-1.3613763,0.013328579
5,171,-2.824151,0.57059914
5,172,-2.3146486,0.62194675
5,173,-1.1644882,-0.44685405
5,174,-2.6082788,0.72283083
5,175,-2.2990944,-0.106700815
5,176,-2.960488,-0.9255547
5,177,-2.7394376,-0.30360723
5,178,-1.5534079,0.05891411
5,179,-1.6279886,0.85349655
5,180,-1.3613763,-1.9866713
5,181,-2.824151,-1.4294009
5,182,-2.3146486,-1.3780532
5,183,-1.1644882,-2.446854
5,184,-2.6082788,-1.2771693
5,185,-2.2990944,-2.106701
5,186,-2.960488,-2.9255545
5,187,-2.7394376,-2.3036072
5,188,-1.5534079,-1.9410859
5,189,-1.6279886,-1.1465034
5,190,-1.3613763,-3.9866717
5,191,-2.824151,-3.429401
5,192,-2.3146486,-3.3780532
5,193,-1.1644882,-4.446854
5,194,-2.6082788,-3.2771692
5,195,-2.2990944,-4.1067004
5,196,-2.960488,-4.9255543
5,197,-2.7394376,-4.303607
5,198,-1.5534079,-3.9410858
5,199,-1.6279886,-3.1465032
5,200,-3.3613765,4.013329
5,201,-4.8241515,4.570599
5,202,-4.314648,4.621947
5,203,-3.1644878,3.553146
5,204,-4.6082783,4.722831
5,205,-4.299094,3.893299
5,206,-4.960488,3.0744455
5,207,-4.7394376,3.6963928
5,208,-3.553408,4.058914
5,209,-3.6279883,4.8534966
5,210,-3.3613765,2.0133283
5,211,-4.8241515,2.570599
5,212,-4.314648,2.6219468
5,213,-3.1644878,1.5531459
5,214,-4.6082783,2.7228308
5,215,-4.299094,1.8932991
5,216,-4.960488,1.0744452
5,217,-4.7394376,1.6963927
5,218,-3.553408,2.0589142
5,219,-3.6279883,2.8534968
5,220,-3.3613765,0.013328579
5,221,-4.8241515,0.57059914
5,222,-4.314648,0.62194675
5,223,-3.1644878,-0.44685405
5,224,-4.6082783,0.72283083
5,225,-4.299094,-0.106700815
5,226,-4.960488,-0.9255547
5,227,-4.7394376,-0.30360723
5,228,-3.553408,0.05891411
5,229,-3.6279883,0.85349655
5,230,-3.3613765,-1.9866713
5,231,-4.8241515,-1.4294009
5,232,-4.314648,-1.3780532
5,233,-3.1644878,-2.446854
5,234,-4.6082783,-1.2771693
5,235,-4.299094,-2.106701
5,236,-4.960488,-2.9255545
5,237,-4.7394376,-2.3036072
5,238,-3.553408,-1.9410859
5,239,-3.6279883,-1.1465034
5,240,-3.3613765,-3.9866717
5,241,-4.8241515,-3.429401
5,242,-4.314648,-3.3780532
5,243,-3.1644878,-4.446854
5,244,-4.6082783,-3.2771692
5,245,-4.299094,-4.1067004
5,246,-4.960488,-4.9255543
5,247,-4.7394376,-4.303607
5,248,-3.553408,-3.9410858
5,249,-3.6279883,-3.1465032
6,0,0.63856834,0.013515196
6,1,-0.8243452,0.5704819
6,2,-0.3139013,0.6214446
6,3,0.835171,-0.44713685
6,4,-0.6077428,0.723397
6,5,-0.29903874,-0.106587015
6,6,-0.96103835,-0.925606
6,7,-0.73891014,-0.30356103
6,8,0.4459249,0.05908052
6,9,0.37195274,0.8533708
6,10,0.63856834,2.0135148
6,11,-0.8243452,2.5704818
6,12,-0.3139013,2.6214447
6,13,0.835171,1.5528631
6,14,-0.6077428,2.7233968
6,15,-0.29903874,1.8934128
6,16,-0.96103835,1.0743939
6,17,-0.73891014,1.6964388
6,18,0.4459249,2.0590806
6,19,0.37195274,2.8533711
6,20,0.63856834,4.013516
6,21,-0.8243452,4.570482
6,22,-0.3139013,4.6214447
6,23,0.835171,3.5528631
6,24,-0.6077428,4.723397
6,25,-0.29903874,3.8934128
6,26,-0.96103835,3.0743942
6,27,-0.73891014,3.696439
6,28,0.4459249,4.0590806
6,29,0.37195274,4.8533707
6,30,2.6385682,-3.9864852
6,31,1.1756549,-3.4295182
6,32,1.6860986,-3.3785553
6,33,2.8351715,-4.447137
6,34,1.3922573,-3.2766032
6,35,1.7009614,-4.1065865
6,36,1.0389616,-4.9256053
6,37,1.2610899,-4.3035607
6,38,2.445925,-3.9409194
6,39,2.3719532,-3.1466289
6,40,2.6385682,-1.9864846
6,41,1.1756549,-1.4295182
6,42,1.6860986,-1.3785554
6,43,2.8351715,-2.4471369
6,44,1.3922573,-1.2766033
6,45,1.7009614,-2.1065872
6,46,1.0389616,-2.9256058
6,47,1.2610899,-2.303561
6,48,2.445925,-1.9409195
6,49,2.3719532,-1.1466292
6,50,2.6385682,0.013515196
6,51,1.1756549,0.5704819
6,52,1.6860986,0.6214446
6,53,2.8351715,-0.44713685
6,54,1.3922573,0.723397
6,55,1.7009614,-0.106587015
6,56,1.0389616,-0.925606
6,57,1.2610899,-0.30356103
6,58,2.445925,0.05908052
6,59,2.3719532,0.8533708
6,60,2.6385682,2.0135148
6,61,1.1756549,2.5704818
6,62,1.6860986,2.6214447
6,63,2.8351715,1.5528631
6,64,1.3922573,2.7233968
6,65,1.7009614,1.8934128
6,66,1.0389616,1.0743939
6,67,1.2610899,1.6964388
6,68,2.445925,2.0590806
6,69,2.3719532,2.8533711
6,70,2.6385682,4.013516
6,71,1.1756549,4.570482
6,72,1.6860986,4.6214447
6,73,2.8351715,3.5528631
6,74,1.3922573,4.723397
6,75,1.7009614,3.8934128
6,76,1.0389616,3.0743942
6,77,1.2610899,3.696439
6,78,2.445925,4.0590806
6,79,2.3719532,4.8533707
6,80,4.6385684,-3.9864852
6,81,3.1756551,-3.4295182
6,82,3.6860983,-3.3785553
6,83,4.8351707,-4.447137
6,84,3.392257,-3.2766032
6,85,3.700961,-4.1065865
6,86,3.0389614,-4.9256053
6,87,3.2610898,-4.3035607
6,88,4.4459248,-3.9409194
6,89,4.3719525,-3.1466289
6,90,4.6385684,-1.9864846
6,91,3.1756551,-1.4295182
6,92,3.6860983,-1.3785554
6,93,4.8351707,-2.4471369
6,94,3.392257,-1.2766033
6,95,3.700961,-2.1065872
6,96,3.0389614,-2.9256058
6,97,3.2610898,-2.303561
6,98,4.4459248,-1.9409195
6,99,4.3719525,-1.1466292
6,100,4.6385684,0.013515196
6,101,3.1756551,0.5704819
6,102,3.6860983,0.6214446
6,103,4.8351707,-0.44713685
6,104,3.392257,0.723397
6,105,3.700961,-0.106587015
6,106,3.0389614,-0.925606
6,107,3.2610898,-0.30356103
6,108,4.4459248,0.05908052
6,109,4.3719525,0.8533708
6,110,4.6385684,2.0135148
6,111,3.1756551,2.5704818
6,112,3.6860983,2.6214447
6,113,4.8351707,1.5528631
6,114,3.392257,2.7233968
6,115,3.700961,1.8934128
6,116,3.0389614,1.0743939
6,117,3.2610898,1.6964388
6,118,4.4459248,2.0590806
6,119,4.3719525,2.8533711
6,120,4.6385684,4.013516
6,121,3.1756551,4.570482
6,122,3.6860983,4.6214447
6,123,4.8351707,3.5528631
6,124,3.392257,4.723397
6,125,3.700961,3.8934128
6,126,3.0389614,3.0743942
6,127,3.2610898,3.696439
6,128,4.4459248,4.0590806
6,129,4.3719525,4.8533707
6,130,0.63856834,-1.9864846
6,131,-0.8243452,-1.4295182
6,132,-0.3139013,-1.3785554
6,133,0.835171,-2.4471369
6,134,-0.6077428,-1.2766033
6,135,-0.29903874,-2.1065872
6,136,-0.96103835,-2.9256058
6,137,-0.73891014,-2.303561
6,138,0.4459249,-1.9409195
6,139,0.37195274,-1.1466292
6,140,0.63856834,-3.9864852
6,141,-0.8243452,-3.4295182
6,142,-0.3139013,-3.3785553
6,143,0.835171,-4.447137
6,144,-0.6077428,-3.2766032
6,145,-0.29903874,-4.1065865
6,146,-0.96103835,-4.9256053
6,147,-0.73891014,-4.3035607
6,148,0.4459249,-3.9409194
6,149,0.37195274,-3.1466289
6,150,-1.3614315,4.013516
6,151,-2.8243449,4.570482
6,152,-2.3139017,4.6214447
6,153,-1.1648293,3.5528631
6,154,-2.607743,4.723397
6,155,-2.299039,3.8934128
6,156,-2.9610386,3.0743942
6,157,-2.7389102,3.696439
6,158,-1.5540751,4.0590806
6,159,-1.6280471,4.8533707
6,160,-1.3614315,2.0135148
6,161,-2.8243449,2.5704818
6,162,-2.3139017,2.6214447
6,163,-1.1648293,1.5528631
6,164,-2.607743,2.7233968
6,165,-2.299039,1.8934128
6,166,-2.9610386,1.0743939
6,167,-2.7389102,1.6964388
6,168,-1.5540751,2.0590806
6,169,-1.6280471,2.8533711
6,170,-1.3614315,0.013515196
6,171,-2.8243449,0.5704819
6,172,-2.3139017,0.6214446
6,173,-1.1648293,-0.44713685
6,174,-2.607743,0.723397
6,175,-2.299039,-0.106587015
6,176,-2.9610386,-0.925606
6,177,-2.7389102,-0.30356103
6,178,-1.5540751,0.05908052
6,179,-1.6280471,0.8533708
6,180,-1.3614315,-1.9864846
6,181,-2.8243449,-1.4295182
6,182,-2.3139017,-1.3785554
6,183,-1.1648293,-2.4471369
6,184,-2.607743,-1.2766033
6,185,-2.299039,-2.1065872
6,186,-2.9610386,-2.9256058
6,187,-2.7389102,-2.303561
6,188,-1.5540751,-1.9409195
6,189,-1.6280471,-1.1466292
6,190,-1.3614315,-3.9864852
6,191,-2.8243449,-3.4295182
6,192,-2.3139017,-3.3785553
6,193,-1.1648293,-4.447137
6,194,-2.607743,-3.2766032
6,195,-2.299039,-4.1065865
6,196,-2.9610386,-4.9256053
6,197,-2.7389102,-4.3035607
6,198,-1.5540751,-3.9409194
6,199,-1.6280471,-3.1466289
6,200,-3.3614318,4.013516
6,201,-4.8243456,4.570482
6,202,-4.313901,4.6214447
6,203,-3.1648285,3.5528631
6,204,-4.6077423,4.723397
6,205,-4.2990384,3.8934128
6,206,-4.961038,3.0743942
6,207,-4.73891,3.696439
6,208,-3.554075,4.0590806
6,209,-3.6280468,4.8533707
6,210,-3.3614318,2.0135148
6,211,-4.8243456,2.5704818
6,212,-4.313901,2.6214447
6,213,-3.1648285,1.5528631
6,214,-4.6077423,2.7233968
6,215,-4.2990384,1.8934128
6,216,-4.961038,1.0743939
6,217,-4.73891,1.6964388
6,218,-3.554075,2.0590806
6,219,-3.6280468,2.8533711
6,220,-3.3614318,0.013515196
6,221,-4.8243456,0.5704819
6,222,-4.313901,0.6214446
6,223,-3.1648285,-0.44713685
6,224,-4.6077423,0.723397
6,225,-4.2990384,-0.106587015
6,226,-4.961038,-0.925606
6,227,-4.73891,-0.30356103
6,228,-3.554075,0.05908052
6,229,-3.6280468,0.8533708
6,230,-3.3614318,-1.9864846
6,231,-4.8243456,-1.4295182
6,232,-4.313901,-1.3785554
6,233,-3.1648285,-2.4471369
6,234,-4.6077423,-1.2766033
6,235,-4.2990384,-2.1065872
6,236,-4.961038,-2.9256058
6,237,-4.73891,-2.303561
6,238,-3.554075,-1.9409195
6,239,-3.6280468,-1.1466292
6,240,-3.3614318,-3.9864852
6,241,-4.8243456,-3.4295182
6,242,-4.313901,-3.3785553
6,243,-3.1648285,-4.447137
6,244,-4.6077423,-3.2766032
6,245,-4.2990384,-4.1065865
6,246,-4.961038,-4.9256053
6,247,-4.73891,-4.3035607
6,248,-3.554075,-3.9409194
6,249,-3.6280468,-3.1466289
7,0,0.63851297,0.013701814
7,1,-0.82453924,0.57036465
7,2,-0.31315413,0.62094235
7,3,0.83483,-0.4474197
7,4,-0.607207,0.72396326
7,5,-0.29898316,-0.10647321
7,6,-0.9615889,-0.92565733
7,7,-0.73838276,-0.30351487
7,8,0.44525763,0.05924692
7,9,0.37189403,0.853245
7,10,0.63851297,2.0137012
7,11,-0.82453924,2.5703645
7,12,-0.31315413,2.6209426
7,13,0.83483,1.5525804
7,14,-0.607207,2.7239628
7,15,-0.29898316,1.8935266
7,16,-0.9615889,1.0743425
7,17,-0.73838276,1.6964849
7,18,0.44525763,2.059247
7,19,0.37189403,2.8532455
7,20,0.63851297,4.013703
7,21,-0.82453924,4.5703645
7,22,-0.31315413,4.6209426
7,23,0.83483,3.5525804
7,24,-0.607207,4.723963
7,25,-0.29898316,3.8935266
7,26,-0.9615889,3.074343
7,27,-0.73838276,3.6964853
7,28,0.44525763,4.059247
7,29,0.37189403,4.853245
7,30,2.6385128,-3.9862988
7,31,1.1754609,-3.4296355
7,32,1.6868457,-3.3790574
7,33,2.8348308,-4.4474196
7,34,1.3927932,-3.2760372
7,35,1.701017,-4.1064725
7,36,1.038411,-4.9256563
7,37,1.2616173,-4.3035145
7,38,2.445258,-3.940753
7,39,2.3718948,-3.1467545
7,40,2.6385128,-1.986298
7,41,1.1754609,-1.4296355
7,42,1.6868457,-1.3790578
7,43,2.8348308,-2.4474196
7,44,1.3927932,-1.2760373
7,45,1.701017,-2.1064734
7,46,1.038411,-2.925657
7,47,1.2616173,-2.3035147
7,48,2.445258,-1.9407531
7,49,2.3718948,-1.146755
7,50,2.6385128,0.013701814
7,51,1.1754609,0.57036465
7,52,1.6868457,0.62094235
7,53,2.8348308,-0.4474197
7,54,1.3927932,0.72396326
7,55,1.701017,-0.10647321
7,56,1.038411,-0.92565733
7,57,1.2616173,-0.30351487
7,58,2.445258,0.05924692
7,59,2.3718948,0.853245
7,60,2.6385128,2.0137012
7,61,1.1754609,2.5703645
7,62,1.6868457,2.6209426
7,63,2.8348308,1.5525804
7,64,1.3927932,2.7239628
7,65,1.701017,1.8935266
7,66,1.038411,1.0743425
7,67,1.2616173,1.6964849
7,68,2.445258,2.059247
7,69,2.3718948,2.8532455
7,70,2.6385128,4.013703
7,71,1.1754609,4.5703645
7,72,1.6868457,4.6209426
7,73,2.8348308,3.5525804
7,74,1.3927932,4.723963
7,75,1.701017,3.8935266
7,76,1.038411,3.074343
7,77,1.2616173,3.6964853
7,78,2.445258,4.059247
7,79,2.3718948,4.853245
7,80,4.638513,-3.9862988
7,81,3.1754613,-3.4296355
7,82,3.6868453,-3.3790574
7,83,4.83483,-4.4474196
7,84,3.3927927,-3.2760372
7,85,3.7010167,-4.1064725
7,86,3.038411,-4.9256563
7,87,3.2616172,-4.3035145
7,88,4.4452577,-3.940753
7,89,4.371894,-3.1467545
7,90,4.638513,-1.986298
7,91,3.1754613,-1.4296355
7,92,3.6868453,-1.3790578
7,93,4.83483,-2.4474196
7,94,3.3927927,-1.2760373
7,95,3.7010167,-2.1064734
7,96,3.038411,-2.925657
7,97,3.2616172,-2.3035147
7,98,4.4452577,-1.9407531
7,99,4.371894,-1.146755
7,100,4.638513,0.013701814
7,101,3.1754613,0.57036465
7,102,3.6868453,0.62094235
7,103,4.83483,-0.4474197
7,104,3.3927927,0.72396326
7,105,3.7010167,-0.10647321
7,106,3.038411,-0.92565733
7,107,3.2616172,-0.30351487
7,108,4.4452577,0.05924692
7,109,4.371894,0.853245
7,110,4.638513,2.0137012
7,111,3.1754613,2.5703645
7,112,3.6868453,2.6209426
7,113,4.83483,1.5525804
7,114,3.3927927,2.7239628
7,115,3.7010167,1.8935266
7,116,3.038411,1.0743425
7,117,3.2616172,1.6964849
7,118,4.4452577,2.059247
7,119,4.371894,2.8532455
7,120,4.638513,4.013703
7,121,3.1754613,4.5703645
7,122,3.6868453,4.6209426
7,123,4.83483,3.5525804
7,124,3.3927927,4.723963
7,125,3.7010167,3.8935266
7,126,3.038411,3.074343
7,127,3.2616172,3.6964853
7,128,4.4452577,4.059247
7,129,4.371894,4.853245
7,130,0.63851297,-1.986298
7,131,-0.82453924,-1.4296355
7,132,-0.31315413,-1.3790578
7,133,0.83483,-2.4474196
7,134,-0.607207,-1.2760373
7,135,-0.29898316,-2.1064734
7,136,-0.9615889,-2.925657
7,137,-0.73838276,-2.3035147
7,138,0.44525763,-1.9407531
7,139,0.37189403,-1.146755
7,140,0.63851297,-3.9862988
7,141,-0.82453924,-3.4296355
7,142,-0.31315413,-3.3790574
7,143,0.83483,-4.4474196
7,144,-0.607207,-3.2760372
7,145,-0.29898316,-4.1064725
7,146,-0.9615889,-4.9256563
7,147,-0.73838276,-4.3035145
7,148,0.44525763,-3.940753
7,149,0.37189403,-3.1467545
7,150,-1.3614867,4.013703
7,151,-2.8245387,4.5703645
7,152,-2.3131547,4.6209426
7,153,-1.1651704,3.5525804
7,154,-2.6072073,4.723963
7,155,-2.2989833,3.8935266
7,156,-2.961589,3.074343
7,157,-2.7383828,3.6964853
7,158,-1.5547425,4.059247
7,159,-1.6281056,4.853245
7,160,-1.3614867,2.0137012
7,161,-2.8245387,2.5703645
7,162,-2.3131547,2.6209426
7,163,-1.1651704,1.5525804
7,164,-2.6072073,2.7239628
7,165,-2.2989833,1.8935266
7,166,-2.961589,1.0743425
7,167,-2.7383828,1.6964849
7,168,-1.5547425,2.059247
7,169,-1.6281056,2.8532455
7,170,-1.3614867,0.013701814
7,171,-2.8245387,0.57036465
7,172,-2.3131547,0.62094235
7,173,-1.1651704,-0.4474197
7,174,-2.6072073,0.72396326
7,175,-2.2989833,-0.10647321
7,176,-2.961589,-0.92565733
7,177,-2.7383828,-0.30351487
7,178,-1.5547425,0.05924692
7,179,-1.6281056,0.853245
7,180,-1.3614867,-1.986298
7,181,-2.8245387,-1.4296355
7,182,-2.3131547,-1.3790578
7,183,-1.1651704,-2.4474196
7,184,-2.6072073,-1.2760373
7,185,-2.2989833,-2.1064734
7,186,-2.961589,-2.925657
7,187,-2.7383828,-2.3035147
7,188,-1.5547425,-1.9407531
7,189,-1.6281056,-1.146755
7,190,-1.3614867,-3.9862988
7,191,-2.8245387,-3.4296355
7,192,-2.3131547,-3.3790574
7,193,-1.1651704,-4.4474196
7,194,-2.6072073,-3.2760372
7,195,-2.2989833,-4.1064725
7,196,-2.961589,-4.9256563
7,197,-2.7383828,-4.3035145
7,198,-1.5547425,-3.940753
7,199,-1.6281056,-3.1467545
7,200,-3.3614872,4.013703
7,201,-4.8245397,4.5703645
7,202,-4.3131537,4.6209426
7,203,-3.1651692,3.5525804
7,204,-4.6072063,4.723963
7,205,-4.2989826,3.8935266
7,206,-4.9615884,3.074343
7,207,-4.738383,3.6964853
7,208,-3.554742,4.059247
7,209,-3.6281052,4.853245
7,210,-3.3614872,2.0137012
7,211,-4.8245397,2.5703645
7,212,-4.3131537,2.6209426
7,213,-3.1651692,1.5525804
7,214,-4.6072063,2.7239628
7,215,-4.2989826,1.8935266
7,216,-4.9615884,1.0743425
7,217,-4.738383,1.6964849
7,218,-3.554742,2.059247
7,219,-3.6281052,2.8532455
7,220,-3.3614872,0.013701814
7,221,-4.8245397,0.57036465
7,222,-4.3131537,0.62094235
7,223,-3.1651692,-0.4474197
7,224,-4.6072063,0.72396326
7,225,-4.2989826,-0.10647321
7,226,-4.9615884,-0.92565733
7,227,-4.738383,-0.30351487
7,228,-3.554742,0.05924692
7,229,-3.6281052,0.853245
7,230,-3.3614872,-1.986298
7,231,-4.8245397,-1.4296355
7,232,-4.3131537,-1.3790578
7,233,-3.1651692,-2.4474196
7,234,-4.6072063,-1.2760373
7,235,-4.2989826,-2.1064734
7,236,-4.9615884,-2.925657
7,237,-4.738383,-2.3035147
7,238,-3.554742,-1.9407531
7,239,-3.6281052,-1.146755
7,240,-3.3614872,-3.9862988
7,241,-4.8245397,-3.4296355
7,242,-4.3131537,-3.3790574
7,243,-3.1651692,-4.4474196
7,244,-4.6072063,-3.2760372
7,245,-4.2989826,-4.1064725
7,246,-4.9615884,-4.9256563
7,247,-4.738383,-4.3035145
7,248,-3.554742,-3.940753
7,249,-3.6281052,-3.1467545
8,0,0.63845754,0.013888438
8,1,-0.8247334,0.5702474
8,2,-0.31240693,0.62044007
8,3,0.8344889,-0.44770262
8,4,-0.6066712,0.7245295
8,5,-0.2989276,-0.10635939
8,6,-0.9621396,-0.92570865
8,7,-0.7378554,-0.30346873
8,8,0.44459024,0.05941332
8,9,0.37183526,0.85311925
8,10,0.63845754,2.0138876
8,11,-0.8247334,2.5702472
8,12,-0.31240693,2.6204405
8,13,0.8344889,1.5522976
8,14,-0.6066712,2.7245288
8,15,-0.2989276,1.8936403
8,16,-0.9621396,1.0742911
8,17,-0.7378554,1.696531
8,18,0.44459024,2.0594134
8,19,0.37183526,2.8531199
8,20,0.63845754,4.01389
8,21,-0.8247334,4.570247
8,22,-0.31240693,4.6204405
8,23,0.8344889,3.5522976
8,24,-0.6066712,4.724529
8,25,-0.2989276,3.8936403
8,26,-0.9621396,3.0742917
8,27,-0.7378554,3.6965315
8,28,0.44459024,4.0594134
8,29,0.37183526,4.853119
8,30,2.6384575,-3.9861124
8,31,1.175267,-3.4297528
8,32,1.6875927,-3.3795595
8,33,2.83449,-4.4477024
8,34,1.393329,-3.2754712
8,35,1.7010727,-4.1063585
8,36,1.0378603,-4.9257073
8,37,1.2621447,-4.303468
8,38,2.4445908,-3.9405866
