step,site_index,x,y
5,0,0.680446,-0.2143917
5,1,0.5667124,0.59817517
5,2,0.82312953,-0.6037657
5,3,-0.33104646,0.5352191
5,4,-0.44613934,0.10125389
5,5,-0.04474723,0.2559488
5,6,-0.26852494,0.029293464
5,7,0.90643626,0.83522266
5,8,0.2713164,0.43778545
5,9,-0.71829635,0.21590908
5,10,0.680446,1.7856084
5,11,0.5667124,2.5981748
5,12,0.82312953,1.3962344
5,13,-0.33104646,2.5352192
5,14,-0.44613934,2.101254
5,15,-0.04474723,2.2559488
5,16,-0.26852494,2.0292933
5,17,0.90643626,2.8352227
5,18,0.2713164,2.4377856
5,19,-0.71829635,2.215909
5,20,0.680446,3.785608
5,21,0.5667124,4.5981755
5,22,0.82312953,3.3962345
5,23,-0.33104646,4.535219
5,24,-0.44613934,4.101254
5,25,-0.04474723,4.2559485
5,26,-0.26852494,4.0292935
5,27,0.90643626,4.8352227
5,28,0.2713164,4.4377856
5,29,-0.71829635,4.2159095
5,30,2.6804457,-4.214391
5,31,2.5667126,-3.4018252
5,32,2.8231294,-4.6037655
5,33,1.6689537,-3.4647808
5,34,1.5538607,-3.898746
5,35,1.9552528,-3.7440512
5,36,1.731475,-3.9707067
5,37,2.9064364,-3.1647773
5,38,2.2713163,-3.5622144
5,39,1.2817037,-3.784091
5,40,2.6804457,-2.214392
5,41,2.5667126,-1.4018248
5,42,2.8231294,-2.6037655
5,43,1.6689537,-1.4647809
5,44,1.5538607,-1.898746
5,45,1.9552528,-1.7440511
5,46,1.731475,-1.9707065
5,47,2.9064364,-1.1647772
5,48,2.2713163,-1.5622146
5,49,1.2817037,-1.7840909
5,50,2.6804457,-0.2143917
5,51,2.5667126,0.59817517
5,52,2.8231294,-0.6037657
5,53,1.6689537,0.5352191
5,54,1.5538607,0.10125389
5,55,1.9552528,0.2559488
5,56,1.731475,0.029293464
5,57,2.9064364,0.83522266
5,58,2.2713163,0.43778545
5,59,1.2817037,0.21590908
5,60,2.6804457,1.7856084
5,61,2.5667126,2.5981748
5,62,2.8231294,1.3962344
5,63,1.6689537,2.5352192
5,64,1.5538607,2.101254
5,65,1.9552528,2.2559488
5,66,1.731475,2.0292933
5,67,2.9064364,2.8352227
5,68,2.2713163,2.4377856
5,69,1.2817037,2.215909
5,70,2.6804457,3.785608
5,71,2.5667126,4.5981755
5,72,2.8231294,3.3962345
5,73,1.6689537,4.535219
5,74,1.5538607,4.101254
5,75,1.9552528,4.2559485
5,76,1.731475,4.0292935
5,77,2.9064364,4.8352227
5,78,2.2713163,4.4377856
5,79,1.2817037,4.2159095
5,80,4.6804457,-4.214391
5,81,4.566712,-3.4018252
5,82,4.823129,-4.6037655
5,83,3.6689534,-3.4647808
5,84,3.5538604,-3.898746
5,85,3.9552531,-3.7440512
5,86,3.731475,-3.9707067
5,87,4.906436,-3.1647773
5,88,4.2713165,-3.5622144
5,89,3.281704,-3.784091
5,90,4.6804457,-2.214392
5,91,4.566712,-1.4018248
5,92,4.823129,-2.6037655
5,93,3.6689534,-1.4647809
5,94,3.5538604,-1.898746
5,95,3.9552531,-1.7440511
5,96,3.731475,-1.9707065
5,97,4.906436,-1.1647772
5,98,4.2713165,-1.5622146
5,99,3.281704,-1.7840909
5,100,4.6804457,-0.2143917
5,101,4.566712,0.59817517
5,102,4.823129,-0.6037657
5,103,3.6689534,0.5352191
5,104,3.5538604,0.10125389
5,105,3.9552531,0.2559488
5,106,3.731475,0.029293464
5,107,4.906436,0.83522266
5,108,4.2713165,0.43778545
5,109,3.281704,0.21590908
5,110,4.6804457,1.7856084
5,111,4.566712,2.5981748
5,112,4.823129,1.3962344
5,113,3.6689534,2.5352192
5,114,3.5538604,2.101254
5,115,3.9552531,2.2559488
5,116,3.731475,2.0292933
5,117,4.906436,2.8352227
5,118,4.2713165,2.4377856
5,119,3.281704,2.215909
5,120,4.6804457,3.785608
5,121,4.566712,4.5981755
5,122,4.823129,3.3962345
5,123,3.6689534,4.535219
5,124,3.5538604,4.101254
5,125,3.9552531,4.2559485
5,126,3.731475,4.0292935
5,127,4.906436,4.8352227
5,128,4.2713165,4.4377856
5,129,3.281704,4.2159095
5,130,0.680446,-2.214392
5,131,0.5667124,-1.4018248
5,132,0.82312953,-2.6037655
5,133,-0.33104646,-1.4647809
5,134,-0.44613934,-1.898746
5,135,-0.04474723,-1.7440511
5,136,-0.26852494,-1.9707065
5,137,0.90643626,-1.1647772
5,138,0.2713164,-1.5622146
5,139,-0.71829635,-1.7840909
5,140,0.680446,-4.214391
5,141,0.5667124,-3.4018252
5,142,0.82312953,-4.6037655
5,143,-0.33104646,-3.4647808
5,144,-0.44613934,-3.898746
5,145,-0.04474723,-3.7440512
5,146,-0.26852494,-3.9707067
5,147,0.90643626,-3.1647773
5,148,0.2713164,-3.5622144
5,149,-0.71829635,-3.784091
5,150,-1.319554,3.785608
5,151,-1.4332875,4.5981755
5,152,-1.1768703,3.3962345
5,153,-2.3310466,4.535219
5,154,-2.4461396,4.101254
5,155,-2.0447469,4.2559485
5,156,-2.268525,4.0292935
5,157,-1.0935637,4.8352227
5,158,-1.7286836,4.4377856
5,159,-2.718296,4.2159095
