step,site_index,x,y
5,0,0.47324714,0.31617177
5,1,-0.56440693,0.57912135
5,2,0.08060413,0.70089674
5,3,0.93510103,0.052728295
5,4,-0.06941439,-0.8185425
5,5,0.6442879,-0.9225227
5,6,-0.8333358,-0.7505927
5,7,0.4130036,0.6517082
5,8,-0.39332604,0.474947
5,9,0.68774676,0.034852117
5,10,0.47324714,2.316172
5,11,-0.56440693,2.579121
5,12,0.08060413,2.700897
5,13,0.93510103,2.0527282
5,14,-0.06941439,1.1814576
5,15,0.6442879,1.0774772
5,16,-0.8333358,1.2494072
5,17,0.4130036,2.6517081
5,18,-0.39332604,2.4749472
5,19,0.68774676,2.034852
5,20,0.47324714,4.3161716
5,21,-0.56440693,4.5791216
5,22,0.08060413,4.7008963
5,23,0.93510103,4.0527287
5,24,-0.06941439,3.1814573
5,25,0.6442879,3.077477
5,26,-0.8333358,3.2494073
5,27,0.4130036,4.651708
5,28,-0.39332604,4.4749475
5,29,0.68774676,4.034852
5,30,2.4732473,-3.683828
5,31,1.435593,-3.420879
5,32,2.0806038,-3.299103
5,33,2.9351013,-3.9472718
5,34,1.9305855,-4.818543
5,35,2.6442878,-4.9225225
5,36,1.166664,-4.7505927
5,37,2.4130037,-3.3482919
5,38,1.6066741,-3.5250528
5,39,2.6877468,-3.965148
5,40,2.4732473,-1.6838284
5,41,1.435593,-1.4208785
5,42,2.0806038,-1.2991034
5,43,2.9351013,-1.9472717
5,44,1.9305855,-2.8185427
5,45,2.6442878,-2.922523
5,46,1.166664,-2.7505927
5,47,2.4130037,-1.3482916
5,48,1.6066741,-1.525053
5,49,2.6877468,-1.9651479
5,50,2.4732473,0.31617177
5,51,1.435593,0.57912135
5,52,2.0806038,0.70089674
5,53,2.9351013,0.052728295
5,54,1.9305855,-0.8185425
5,55,2.6442878,-0.9225227
5,56,1.166664,-0.7505927
5,57,2.4130037,0.6517082
5,58,1.6066741,0.474947
5,59,2.6877468,0.034852117
5,60,2.4732473,2.316172
5,61,1.435593,2.579121
5,62,2.0806038,2.700897
5,63,2.9351013,2.0527282
5,64,1.9305855,1.1814576
5,65,2.6442878,1.0774772
5,66,1.166664,1.2494072
5,67,2.4130037,2.6517081
5,68,1.6066741,2.4749472
5,69,2.6877468,2.034852
5,70,2.4732473,4.3161716
5,71,1.435593,4.5791216
5,72,2.0806038,4.7008963
5,73,2.9351013,4.0527287
5,74,1.9305855,3.1814573
5,75,2.6442878,3.077477
5,76,1.166664,3.2494073
5,77,2.4130037,4.651708
5,78,1.6066741,4.4749475
5,79,2.6877468,4.034852
5,80,4.473247,-3.683828
5,81,3.435593,-3.420879
5,82,4.080604,-3.299103
5,83,4.935101,-3.9472718
5,84,3.9305856,-4.818543
5,85,4.644288,-4.9225225
5,86,3.1666641,-4.7505927
5,87,4.4130034,-3.3482919
5,88,3.6066737,-3.5250528
5,89,4.687747,-3.965148
5,90,4.473247,-1.6838284
5,91,3.435593,-1.4208785
5,92,4.080604,-1.2991034
5,93,4.935101,-1.9472717
5,94,3.9305856,-2.8185427
5,95,4.644288,-2.922523
5,96,3.1666641,-2.7505927
5,97,4.4130034,-1.3482916
5,98,3.6066737,-1.525053
5,99,4.687747,-1.9651479
5,100,4.473247,0.31617177
5,101,3.435593,0.57912135
5,102,4.080604,0.70089674
5,103,4.935101,0.052728295
5,104,3.9305856,-0.8185425
5,105,4.644288,-0.9225227
5,106,3.1666641,-0.7505927
5,107,4.4130034,0.6517082
5,108,3.6066737,0.474947
5,109,4.687747,0.034852117
5,110,4.473247,2.316172
5,111,3.435593,2.579121
5,112,4.080604,2.700897
5,113,4.935101,2.0527282
5,114,3.9305856,1.1814576
5,115,4.644288,1.0774772
5,116,3.1666641,1.2494072
5,117,4.4130034,2.6517081
5,118,3.6066737,2.4749472
5,119,4.687747,2.034852
5,120,4.473247,4.3161716
5,121,3.435593,4.5791216
5,122,4.080604,4.7008963
5,123,4.935101,4.0527287
5,124,3.9305856,3.1814573
5,125,4.644288,3.077477
5,126,3.1666641,3.2494073
5,127,4.4130034,4.651708
5,128,3.6066737,4.4749475
5,129,4.687747,4.034852
5,130,0.47324714,-1.6838284
5,131,-0.56440693,-1.4208785
5,132,0.08060413,-1.2991034
5,133,0.93510103,-1.9472717
5,134,-0.06941439,-2.8185427
5,135,0.6442879,-2.922523
5,136,-0.8333358,-2.7505927
5,137,0.4130036,-1.3482916
5,138,-0.39332604,-1.525053
5,139,0.68774676,-1.9651479
5,140,0.47324714,-3.683828
5,141,-0.56440693,-3.420879
5,142,0.08060413,-3.299103
5,143,0.93510103,-3.9472718
5,144,-0.06941439,-4.818543
5,145,0.6442879,-4.9225225
5,146,-0.8333358,-4.7505927
5,147,0.4130036,-3.3482919
5,148,-0.39332604,-3.5250528
5,149,0.68774676,-3.965148
5,150,-1.5267531,4.3161716
5,151,-2.564407,4.5791216
5,152,-1.9193958,4.7008963
5,153,-1.0648988,4.0527287
5,154,-2.0694144,3.1814573
5,155,-1.3557122,3.077477
5,156,-2.8333359,3.2494073
5,157,-1.5869964,4.651708
5,158,-2.3933263,4.4749475
5,159,-1.3122535,4.034852
5,160,-1.5267531,2.316172
5,161,-2.564407,2.579121
5,162,-1.9193958,2.700897
5,163,-1.0648988,2.0527282
5,164,-2.0694144,1.1814576
5,165,-1.3557122,1.0774772
5,166,-2.8333359,1.2494072
5,167,-1.5869964,2.6517081
5,168,-2.3933263,2.4749472
5,169,-1.3122535,2.034852
5,170,-1.5267531,0.31617177
5,171,-2.564407,0.57912135
5,172,-1.9193958,0.70089674
5,173,-1.0648988,0.052728295
5,174,-2.0694144,-0.8185425
5,175,-1.3557122,-0.9225227
5,176,-2.8333359,-0.7505927
5,177,-1.5869964,0.6517082
5,178,-2.3933263,0.474947
5,179,-1.3122535,0.034852117
5,180,-1.5267531,-1.6838284
5,181,-2.564407,-1.4208785
5,182,-1.9193958,-1.2991034
5,183,-1.0648988,-1.9472717
5,184,-2.0694144,-2.8185427
5,185,-1.3557122,-2.922523
5,186,-2.8333359,-2.7505927
5,187,-1.5869964,-1.3482916
5,188,-2.3933263,-1.525053
5,189,-1.3122535,-1.9651479
5,190,-1.5267531,-3.683828
5,191,-2.564407,-3.420879
5,192,-1.9193958,-3.299103
5,193,-1.0648988,-3.9472718
5,194,-2.0694144,-4.818543
5,195,-1.3557122,-4.9225225
5,196,-2.8333359,-4.7505927
5,197,-1.5869964,-3.3482919
5,198,-2.3933263,-3.5250528
5,199,-1.3122535,-3.965148
5,200,-3.5267527,4.3161716
