x,y
0.87356883,-0.015015901
-0.35928783,-1.1607605
-0.33974332,1.5851063
0.97120976,1.7886227
1.7485956,0.21448876
1.4542762,1.377052
0.49634546,-1.8294938
0.6153534,-1.2838054
-0.108748704,-1.1021382
-1.4322028,1.3848003
-1.4231006,1.1472572
-0.6260924,1.2749014
-1.0607189,0.7631053
-0.62468034,0.8938106
0.19781773,-0.50521094
-0.1637162,1.3817481
-0.027622076,1.428923
1.5612952,-1.5341471
-1.9898033,-1.6951665
0.30443227,1.4237967
-1.8770728,1.4218475
-0.98204976,-1.2401079
-1.7479707,-0.56812394
-0.7921484,-0.5822441
0.30836058,-1.2671956
-0.9282464,1.3922913
1.5930525,1.9192194
0.22627163,-0.28039286
0.95003384,1.7622503
1.7668152,-0.8944275
0.10239829,-1.6267667
-1.806163,-0.8436518
-0.77354634,0.71868634
1.3221407,1.1931802
-0.13584386,-0.64340556
-0.79148465,-0.1873287
-1.1966677,0.67538875
0.99954134,1.4569081
0.24290408,-0.43580773
-1.8838503,0.81935805
1.728197,-0.42604953
-0.871846,-1.265237
-0.019116433,-1.6993351
-0.5305678,-0.7442663
1.1108601,0.6910102
0.22835813,1.7974066
0.921485,-0.5725548
0.7650624,-1.1290414
-1.5987352,-0.90794176
0.13261531,1.623568
1.584195,-0.6401198
1.1571712,-1.2470156
1.2773244,-0.42773864
0.81979114,-0.5008338
0.3303398,0.55739677
0.1737223,-1.2188222
-0.29983786,-1.4604586
0.10388594,-0.48187104
-1.9144009,0.15128021
-1.8746687,0.59586746
-0.71272284,0.2607754
0.5207471,-1.5383701
-0.34931308,-1.4550842
-1.9263674,0.29883674
-0.43740848,-1.7096748
-1.921524,-1.2534336
1.0812901,1.0047259
0.34718135,-0.90274704
-0.25329816,1.0237792
-1.3925974,0.46061453
1.4369935,0.77408594
-1.9143562,-0.7438978
-0.961167,1.0930051
-1.3420348,0.41831776
0.48060337,1.7331892
-0.3931756,0.80117375
-0.28547937,-1.2411219
0.42202842,-0.12100514
-0.85452116,1.9141215
1.9917907,1.7180392
-7.126431,-8.015016
-8.359288,-9.160761
-8.339744,-6.4148936
-7.0287905,-6.211377
-6.2514043,-7.785511
-6.545724,-6.622948
-7.5036545,-9.8294935
-7.3846464,-9.283806
-8.108748,-9.1021385
-9.432203,-6.6151996
-9.4231,-6.8527427
-8.626092,-6.7250986
-9.060719,-7.2368946
-8.6246805,-7.1061893
-7.802182,-8.505211
-8.163716,-6.618252
-8.027622,-6.571077
-6.438705,-9.534147
-9.989803,-9.695167
-7.6955676,-6.5762033
-9.877073,-6.5781527
-8.98205,-9.240108
-9.747971,-8.568124
-8.792149,-8.582244
-7.6916394,-9.267196
-8.9282465,-6.607709
-6.4069476,-6.0807805
-7.7737284,-8.280393
-7.0499663,-6.2377496
-6.233185,-8.894427
-7.8976016,-9.626766
-9.806163,-8.843652
-8.773546,-7.281314
-6.6778593,-6.80682
