x,y
-0.32466012,0.00044645325
0.7909987,0.7793557
-0.72591937,0.8760783
0.7995895,-0.26879963
-0.9041242,-0.7160124
0.23001853,0.82205415
-0.8603852,-0.26488054
-0.07371994,-0.55548835
-0.45593858,-0.33987606
0.40553358,-0.29320365
-0.7828215,0.11844205
-0.38216645,0.5683058
-0.15020658,0.79623586
-0.09155957,-0.16486588
0.2729376,-0.8629294
0.78050214,-0.94029516
0.3559868,-0.056271728
0.83948296,0.13115832
0.074272424,0.49493402
-0.8851953,0.5127482
-4.3246603,-3.9995534
-3.2090013,-3.2206442
-4.7259192,-3.1239216
-3.2004104,-4.2688
-4.9041243,-4.7160125
-3.7699814,-3.1779459
-4.860385,-4.2648807
-4.07372,-4.5554886
-4.4559383,-4.339876
-3.5944664,-4.293204
-4.7828217,-3.881558
-4.3821664,-3.4316943
-4.1502066,-3.2037642
-4.0915594,-4.164866
-3.7270625,-4.8629293
-3.219498,-4.940295
-3.6440132,-4.0562716
-3.160517,-3.8688416
-3.9257276,-3.505066
-4.8851953,-3.4872518
-4.3246603,-1.9995536
-3.2090013,-1.2206442
-4.7259192,-1.1239216
-3.2004104,-2.2687995
-4.9041243,-2.7160125
-3.7699814,-1.1779459
-4.860385,-2.2648807
-4.07372,-2.5554883
-4.4559383,-2.3398762
-3.5944664,-2.2932036
-4.7828217,-1.881558
-4.3821664,-1.4316943
-4.1502066,-1.2037642
-4.0915594,-2.164866
-3.7270625,-2.8629293
-3.219498,-2.9402952
-3.6440132,-2.0562718
-3.160517,-1.8688416
-3.9257276,-1.5050659
-4.8851953,-1.4872518
-4.3246603,0.00044645325
-3.2090013,0.7793557
-4.7259192,0.8760783
-3.2004104,-0.26879963
-4.9041243,-0.7160124
-3.7699814,0.82205415
-4.860385,-0.26488054
-4.07372,-0.55548835
-4.4559383,-0.33987606
-3.5944664,-0.29320365
-4.7828217,0.11844205
-4.3821664,0.5683058
-4.1502066,0.79623586
-4.0915594,-0.16486588
-3.7270625,-0.8629294
-3.219498,-0.94029516
-3.6440132,-0.056271728
-3.160517,0.13115832
-3.9257276,0.49493402
-4.8851953,0.5127482
-4.3246603,2.0004466
-3.2090013,2.7793558
-4.7259192,2.8760784
-3.2004104,1.7312003
-4.9041243,1.2839875
-3.7699814,2.8220541
-4.860385,1.7351195
-4.07372,1.4445117
-4.4559383,1.660124
-3.5944664,1.7067964
-4.7828217,2.118442
-4.3821664,2.5683057
-4.1502066,2.7962358
-4.0915594,1.8351341
-3.7270625,1.1370707
-3.219498,1.0597048
-3.6440132,1.9437283
-3.160517,2.1311584
-3.9257276,2.494934
-4.8851953,2.5127482
-4.3246603,4.0004463
-3.2090013,4.7793555
-4.7259192,4.876078
-3.2004104,3.7312005
-4.9041243,3.2839875
-3.7699814,4.822054
-4.860385,3.7351193
-4.07372,3.4445117
-4.4559383,3.6601238
-3.5944664,3.7067964
-4.7828217,4.118442
-4.3821664,4.568306
-4.1502066,4.796236
-4.0915594,3.835134
-3.7270625,3.1370707
-3.219498,3.0597048
-3.6440132,3.9437282
-3.160517,4.1311584
-3.9257276,4.494934
-4.8851953,4.5127482
-2.32466,-3.9995534
-1.2090013,-3.2206442
-2.7259192,-3.1239216
-1.2004105,-4.2688
-2.9041243,-4.7160125
-1.7699815,-3.1779459
-2.8603852,-4.2648807
-2.07372,-4.5554886
-2.4559386,-4.339876
-1.5944664,-4.293204
-2.7828214,-3.881558
-2.3821664,-3.4316943
-2.1502066,-3.2037642
-2.0915596,-4.164866
-1.7270625,-4.8629293
-1.2194979,-4.940295
-1.6440132,-4.0562716
-1.160517,-3.8688416
-1.9257276,-3.505066
-2.8851953,-3.4872518
-2.32466,-1.9995536
-1.2090013,-1.2206442
-2.7259192,-1.1239216
-1.2004105,-2.2687995
-2.9041243,-2.7160125
-1.7699815,-1.1779459
-2.8603852,-2.2648807
-2.07372,-2.5554883
-2.4559386,-2.3398762
-1.5944664,-2.2932036
-2.7828214,-1.881558
-2.3821664,-1.4316943
-2.1502066,-1.2037642
-2.0915596,-2.164866
-1.7270625,-2.8629293
-1.2194979,-2.9402952
-1.6440132,-2.0562718
-1.160517,-1.8688416
-1.9257276,-1.5050659
-2.8851953,-1.4872518
-2.32466,0.00044645325
-1.2090013,0.7793557
-2.7259192,0.8760783
-1.2004105,-0.26879963
-2.9041243,-0.7160124
-1.7699815,0.82205415
-2.8603852,-0.26488054
-2.07372,-0.55548835
-2.4559386,-0.33987606
-1.5944664,-0.29320365
-2.7828214,0.11844205
-2.3821664,0.5683058
-2.1502066,0.79623586
-2.0915596,-0.16486588
-1.7270625,-0.8629294
-1.2194979,-0.94029516
-1.6440132,-0.056271728
-1.160517,0.13115832
-1.9257276,0.49493402
-2.8851953,0.5127482
-2.32466,2.0004466
-1.2090013,2.7793558
-2.7259192,2.8760784
-1.2004105,1.7312003
-2.9041243,1.2839875
-1.7699815,2.8220541
-2.8603852,1.7351195
-2.07372,1.4445117
-2.4559386,1.660124
-1.5944664,1.7067964
-2.7828214,2.118442
-2.3821664,2.5683057
-2.1502066,2.7962358
-2.0915596,1.8351341
-1.7270625,1.1370707
-1.2194979,1.0597048
-1.6440132,1.9437283
-1.160517,2.1311584
-1.9257276,2.494934
-2.8851953,2.5127482
-2.32466,4.0004463
-1.2090013,4.7793555
-2.7259192,4.876078
-1.2004105,3.7312005
-2.9041243,3.2839875
-1.7699815,4.822054
-2.8603852,3.7351193
-2.07372,3.4445117
-2.4559386,3.6601238
-1.5944664,3.7067964
-2.7828214,4.118442
-2.3821664,4.568306
-2.1502066,4.796236
-2.0915596,3.835134
-1.7270625,3.1370707
-1.2194979,3.0597048
-1.6440132,3.9437282
-1.160517,4.1311584
-1.9257276,4.494934
-2.8851953,4.5127482
-0.32466012,-3.9995534
0.7909987,-3.2206442
-0.72591937,-3.1239216
0.7995895,-4.2688
-0.9041242,-4.7160125
0.23001853,-3.1779459
-0.8603852,-4.2648807
-0.07371994,-4.5554886
-0.45593858,-4.339876
0.40553358,-4.293204
-0.7828215,-3.881558
-0.38216645,-3.4316943
-0.15020658,-3.2037642
-0.09155957,-4.164866
0.2729376,-4.8629293
0.78050214,-4.940295
0.3559868,-4.0562716
0.83948296,-3.8688416
0.074272424,-3.505066
-0.8851953,-3.4872518
-0.32466012,-1.9995536
0.7909987,-1.2206442
-0.72591937,-1.1239216
0.7995895,-2.2687995
-0.9041242,-2.7160125
0.23001853,-1.1779459
-0.8603852,-2.2648807
-0.07371994,-2.5554883
-0.45593858,-2.3398762
0.40553358,-2.2932036
-0.7828215,-1.881558
-0.38216645,-1.4316943
-0.15020658,-1.2037642
-0.09155957,-2.164866
0.2729376,-2.8629293
0.78050214,-2.9402952
0.3559868,-2.0562718
0.83948296,-1.8688416
0.074272424,-1.5050659
-0.8851953,-1.4872518
-0.32466012,2.0004466
0.7909987,2.7793558
-0.72591937,2.8760784
0.7995895,1.7312003
-0.9041242,1.2839875
0.23001853,2.8220541
-0.8603852,1.7351195
-0.07371994,1.4445117
-0.45593858,1.660124
0.40553358,1.7067964
-0.7828215,2.118442
-0.38216645,2.5683057
-0.15020658,2.7962358
-0.09155957,1.8351341
0.2729376,1.1370707
0.78050214,1.0597048
0.3559868,1.9437283
0.83948296,2.1311584
0.074272424,2.494934
-0.8851953,2.5127482
-0.32466012,4.0004463
0.7909987,4.7793555
-0.72591937,4.876078
0.7995895,3.7312005
-0.9041242,3.2839875
0.23001853,4.822054
-0.8603852,3.7351193
-0.07371994,3.4445117
-0.45593858,3.6601238
0.40553358,3.7067964
-0.7828215,4.118442
-0.38216645,4.568306
-0.15020658,4.796236
-0.09155957,3.835134
0.2729376,3.1370707
0.78050214,3.0597048
0.3559868,3.9437282
0.83948296,4.1311584
0.074272424,4.494934
-0.8851953,4.5127482
1.6753399,-3.9995534
2.7909987,-3.2206442
1.2740806,-3.1239216
2.7995896,-4.2688
1.0958757,-4.7160125
2.2300186,-3.1779459
1.1396148,-4.2648807
1.92628,-4.5554886
1.5440614,-4.339876
2.4055336,-4.293204
1.2171786,-3.881558
1.6178336,-3.4316943
1.8497934,-3.2037642
1.9084405,-4.164866
2.2729375,-4.8629293
2.780502,-4.940295
2.3559868,-4.0562716
2.839483,-3.8688416
2.0742724,-3.505066
1.1148047,-3.4872518
1.6753399,-1.9995536
2.7909987,-1.2206442
1.2740806,-1.1239216
2.7995896,-2.2687995
1.0958757,-2.7160125
2.2300186,-1.1779459
1.1396148,-2.2648807
1.92628,-2.5554883
1.5440614,-2.3398762
2.4055336,-2.2932036
1.2171786,-1.881558
1.6178336,-1.4316943
1.8497934,-1.2037642
1.9084405,-2.164866
2.2729375,-2.8629293
2.780502,-2.9402952
2.3559868,-2.0562718
2.839483,-1.8688416
2.0742724,-1.5050659
1.1148047,-1.4872518
1.6753399,0.00044645325
2.7909987,0.7793557
1.2740806,0.8760783
2.7995896,-0.26879963
1.0958757,-0.7160124
2.2300186,0.82205415
1.1396148,-0.26488054
1.92628,-0.55548835
1.5440614,-0.33987606
2.4055336,-0.29320365
1.2171786,0.11844205
1.6178336,0.5683058
1.8497934,0.79623586
1.9084405,-0.16486588
2.2729375,-0.8629294
2.780502,-0.94029516
2.3559868,-0.056271728
2.839483,0.13115832
2.0742724,0.49493402
1.1148047,0.5127482
1.6753399,2.0004466
2.7909987,2.7793558
1.2740806,2.8760784
2.7995896,1.7312003
1.0958757,1.2839875
2.2300186,2.8220541
1.1396148,1.7351195
1.92628,1.4445117
1.5440614,1.660124
2.4055336,1.7067964
1.2171786,2.118442
1.6178336,2.5683057
1.8497934,2.7962358
1.9084405,1.8351341
2.2729375,1.1370707
2.780502,1.0597048
2.3559868,1.9437283
2.839483,2.1311584
2.0742724,2.494934
1.1148047,2.5127482
1.6753399,4.0004463
2.7909987,4.7793555
1.2740806,4.876078
2.7995896,3.7312005
1.0958757,3.2839875
2.2300186,4.822054
1.1396148,3.7351193
1.92628,3.4445117
1.5440614,3.6601238
2.4055336,3.7067964
1.2171786,4.118442
1.6178336,4.568306
1.8497934,4.796236
1.9084405,3.835134
