x,y
-0.02282897,0.102238975
0.59502035,0.7852431
-0.8758018,0.94966805
0.59621286,-0.2449099
-0.7382925,-0.7366971
0.21230356,0.7897536
-0.7541327,-0.6443507
-0.09162198,-0.7679664
-0.49496955,-0.66604376
0.28717136,-0.25039208
-0.7397898,-0.078935795
-0.43022227,0.9426663
-0.004675499,0.9107044
0.19357042,-0.20720561
0.061712205,-0.85803914
0.69120735,-0.9610876
0.24420434,0.28619468
0.8241458,0.36836955
0.23588873,0.42034742
-0.87653774,0.497606
-4.022829,-3.897761
-3.4049797,-3.214757
-4.875802,-3.050332
-3.4037871,-4.24491
-4.7382927,-4.736697
-3.7876964,-3.2102463
-4.7541327,-4.6443505
-4.091622,-4.7679663
-4.4949694,-4.6660438
-3.7128286,-4.250392
-4.73979,-4.0789356
-4.4302225,-3.0573337
-4.0046754,-3.0892956
-3.8064296,-4.207206
-3.9382877,-4.858039
-3.3087926,-4.9610877
-3.7557957,-3.7138052
-3.1758542,-3.6316304
-3.7641113,-3.5796525
-4.876538,-3.502394
-4.022829,-1.897761
-3.4049797,-1.214757
-4.875802,-1.050332
-3.4037871,-2.24491
-4.7382927,-2.7366972
-3.7876964,-1.2102463
-4.7541327,-2.6443508
-4.091622,-2.7679663
-4.4949694,-2.6660438
-3.7128286,-2.250392
-4.73979,-2.0789359
-4.4302225,-1.0573337
-4.0046754,-1.0892956
-3.8064296,-2.2072055
-3.9382877,-2.8580391
-3.3087926,-2.9610877
-3.7557957,-1.7138053
-3.1758542,-1.6316304
-3.7641113,-1.5796525
-4.876538,-1.502394
-4.022829,0.102238975
-3.4049797,0.7852431
-4.875802,0.94966805
-3.4037871,-0.2449099
-4.7382927,-0.7366971
-3.7876964,0.7897536
-4.7541327,-0.6443507
-4.091622,-0.7679664
-4.4949694,-0.66604376
-3.7128286,-0.25039208
-4.73979,-0.078935795
-4.4302225,0.9426663
-4.0046754,0.9107044
-3.8064296,-0.20720561
-3.9382877,-0.85803914
-3.3087926,-0.9610876
-3.7557957,0.28619468
-3.1758542,0.36836955
-3.7641113,0.42034742
-4.876538,0.497606
-4.022829,2.102239
-3.4049797,2.785243
-4.875802,2.949668
