x,y
-0.61838603,0.38741222
1.0043708,1.4069715
-1.5225078,0.99000365
1.3712531,-1.2847302
-0.7412013,-0.7446614
0.7600942,1.3993795
-1.2900054,-0.06596367
-0.28424713,-0.80420357
-0.8424962,0.23812427
1.1173978,-0.29171234
0.052338522,-0.053195182
-1.0887246,0.62301964
-0.25636142,0.38669944
-0.4018698,0.042708017
0.9424811,-1.0147536
0.71475434,-0.5061439
-0.40857357,-0.30565888
0.053747676,-0.25880545
0.36514094,0.35402796
-0.014425106,0.13882801
-4.6183863,-3.6125877
-2.9956293,-2.5930285
-5.5225077,-3.0099964
-2.628747,-5.28473
-4.7412014,-4.7446613
-3.2399058,-2.6006205
-5.2900057,-4.0659637
-4.284247,-4.8042035
-4.8424964,-3.7618756
-2.8826022,-4.2917123
-3.9476614,-4.053195
-5.0887246,-3.3769803
-4.2563615,-3.6133006
-4.40187,-3.957292
-3.057519,-5.0147533
-3.2852457,-4.506144
-4.4085736,-4.305659
-3.9462523,-4.2588053
-3.634859,-3.645972
-4.0144253,-3.861172
-4.6183863,-1.6125878
-2.9956293,-0.59302855
-5.5225077,-1.0099964
-2.628747,-3.2847302
-4.7412014,-2.7446613
-3.2399058,-0.6006205
-5.2900057,-2.0659637
-4.284247,-2.8042035
-4.8424964,-1.7618757
-2.8826022,-2.2917123
-3.9476614,-2.0531952
-5.0887246,-1.3769803
-4.2563615,-1.6133006
-4.40187,-1.957292
-3.057519,-3.0147536
-3.2852457,-2.506144
-4.4085736,-2.3056588
-3.9462523,-2.2588055
-3.634859,-1.645972
-4.0144253,-1.861172
-4.6183863,0.38741222
-2.9956293,1.4069715
-5.5225077,0.99000365
-2.628747,-1.2847302
-4.7412014,-0.7446614
-3.2399058,1.3993795
-5.2900057,-0.06596367
-4.284247,-0.80420357
-4.8424964,0.23812427
-2.8826022,-0.29171234
-3.9476614,-0.053195182
-5.0887246,0.62301964
-4.2563615,0.38669944
-4.40187,0.042708017
-3.057519,-1.0147536
-3.2852457,-0.5061439
-4.4085736,-0.30565888
-3.9462523,-0.25880545
-3.634859,0.35402796
-4.0144253,0.13882801
-4.6183863,2.3874123
-2.9956293,3.4069715
-5.5225077,2.9900036
-2.628747,0.7152698
-4.7412014,1.2553387
-3.2399058,3.3993795
